factor,sun_mercury,venus_sun,asc_planets,aspect_formations,pushya_nn,algol_asc,sun_mercury_conj,mars_trine_mc,moon_jupiter_aquarius,sun_spica,venus_libra,leo_sun_comp,cancer_asc_comp,node_match
sun_mercury,1.0000,0.4483,0.1857,0.2394,0.0712,0.0413,0.4506,0.1109,0.1283,0.3811,0.4215,0.0582,0.0219,0.0000
venus_sun,0.4483,1.0000,0.2103,0.2157,0.0694,0.0376,0.3982,0.0721,0.2306,0.3096,0.4712,0.0815,0.0287,0.0000
asc_planets,0.1857,0.2103,1.0000,0.3762,0.0921,0.3764,0.2493,0.3825,0.1854,0.1735,0.2156,0.1023,0.0814,0.0000
aspect_formations,0.2394,0.2157,0.3762,1.0000,0.1073,0.1394,0.2845,0.4205,0.3852,0.1534,0.2032,0.0945,0.0779,0.0000
pushya_nn,0.0712,0.0694,0.0921,0.1073,1.0000,0.0127,0.0823,0.1026,0.0743,0.0614,0.0705,0.0234,0.0214,0.0000
algol_asc,0.0413,0.0376,0.3764,0.1394,0.0127,1.0000,0.0489,0.1392,0.0632,0.0274,0.0410,0.0187,0.0152,0.0000
sun_mercury_conj,0.4506,0.3982,0.2493,0.2845,0.0823,0.0489,1.0000,0.1476,0.1532,0.3542,0.3968,0.0674,0.0287,0.0000
mars_trine_mc,0.1109,0.0721,0.3825,0.4205,0.1026,0.1392,0.1476,1.0000,0.1867,0.0726,0.0835,0.0395,0.0321,0.0000
moon_jupiter_aquarius,0.1283,0.2306,0.1854,0.3852,0.0743,0.0632,0.1532,0.1867,1.0000,0.0745,0.1954,0.0412,0.0328,0.0000
sun_spica,0.3811,0.3096,0.1735,0.1534,0.0614,0.0274,0.3542,0.0726,0.0745,1.0000,0.3127,0.0528,0.0196,0.0000
venus_libra,0.4215,0.4712,0.2156,0.2032,0.0705,0.0410,0.3968,0.0835,0.1954,0.3127,1.0000,0.0721,0.0253,0.0000
leo_sun_comp,0.0582,0.0815,0.1023,0.0945,0.0234,0.0187,0.0674,0.0395,0.0412,0.0528,0.0721,1.0000,0.4153,0.0000
cancer_asc_comp,0.0219,0.0287,0.0814,0.0779,0.0214,0.0152,0.0287,0.0321,0.0328,0.0196,0.0253,0.4153,1.0000,0.0000
node_match,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
